Declared,Temperature,NH3,pH,LUX,PAR,Kelvin,In/Out,Do
28/07/2021 15:56,24.5,0.077,6.5,0,0,0,In,7.70
28/07/2021 15:36,24.5,0.076,6.49,0,0,0,In,7.70
28/07/2021 15:16,24.625,0.077,6.52,0,0,0,In,7.70
28/07/2021 15:06,24.5,0.076,6.53,0,0,0,In,7.80
28/07/2021 14:56,24.5,0.076,6.54,0,0,0,In,7.60
28/07/2021 14:36,24.375,0.076,6.5,0,0,0,In,7.60
28/07/2021 14:16,24.625,0.076,6.5,0,0,0,In,7.90
28/07/2021 14:06,24.5,0.076,6.5,0,0,0,In,7.70
28/07/2021 13:56,24.5,0.076,6.51,0,0,0,In,7.80
28/07/2021 13:36,24.625,0.076,6.53,0,0,0,In,7.70
28/07/2021 13:16,24.5,0.076,6.52,0,0,0,In,7.80
28/07/2021 13:06,24.375,0.076,6.5,0,0,0,In,7.70
28/07/2021 12:56,24.5,0.076,6.52,0,0,0,In,7.60
28/07/2021 12:36,24.5,0.076,6.51,0,0,0,In,7.60
28/07/2021 12:16,24.5,0.075,6.5,0,0,0,In,7.80
28/07/2021 12:06,24.625,0.076,6.52,0,0,0,In,7.60
28/07/2021 11:56,24.625,0.075,6.52,0,0,0,In,7.60
28/07/2021 11:39,24.5,0.075,6.52,0,0,0,In,7.70
28/07/2021 11:36,24.5,0.075,6.52,0,0,0,In,7.80
28/07/2021 11:36,24.625,0.075,6.52,0,0,0,In,7.60
28/07/2021 11:34,24.5,0.075,6.52,0,0,0,In,7.70
28/07/2021 11:30,24.625,0.075,6.51,0,0,0,In,7.60
28/07/2021 11:28,25,0.075,6.54,0,0,0,In,7.80
28/07/2021 11:27,24.875,0.075,6.54,0,0,0,In,7.90
28/07/2021 11:27,24.875,0.076,6.54,0,0,0,In,7.90
28/07/2021 11:27,24.75,0.075,6.54,0,0,0,In,7.60
28/07/2021 11:27,24.875,0.076,6.55,0,0,0,In,7.70
28/07/2021 11:27,24.75,0.075,6.55,0,0,0,In,7.80
28/07/2021 11:27,24.75,0.075,6.55,0,0,0,In,7.70
28/07/2021 11:27,24.75,0.075,6.55,0,0,0,In,7.70
28/07/2021 11:27,24.75,0.075,6.54,0,0,0,In,7.60
28/07/2021 11:26,24.75,0.075,6.54,0,0,0,In,7.60
28/07/2021 11:26,24.625,0.075,6.54,0,0,0,In,7.80
28/07/2021 11:26,24.75,0.075,6.54,0,0,0,In,7.80
28/07/2021 11:26,24.75,0.075,6.53,0,0,0,In,7.90
28/07/2021 11:26,24.625,0.075,6.53,0,0,0,In,7.90
28/07/2021 11:26,24.75,0.075,6.53,0,0,0,In,7.90
28/07/2021 11:26,24.625,0.075,6.52,0,0,0,In,7.70
28/07/2021 11:26,24.5,0.075,6.52,0,0,0,In,7.70
28/07/2021 11:26,24.625,0.075,6.52,0,0,0,In,7.70
28/07/2021 11:22,24.75,0.075,6.53,0,0,0,In,7.70
28/07/2021 11:21,24.625,0.075,6.53,0,0,0,In,7.90
28/07/2021 11:21,24.875,0.075,6.53,0,0,0,In,7.60
28/07/2021 11:21,24.875,0.075,6.53,0,0,0,In,7.90
28/07/2021 11:21,24.75,0.075,6.53,0,0,0,In,7.70
28/07/2021 11:21,24.625,0.075,6.53,0,0,0,In,7.60
28/07/2021 11:21,24.75,0.075,6.53,0,0,0,In,7.80
28/07/2021 11:21,24.5,0.075,6.52,0,0,0,In,7.90
28/07/2021 11:21,24.5,0.075,6.52,0,0,0,In,7.90
28/07/2021 11:21,24.5,0.075,6.52,0,0,0,In,7.90
28/07/2021 11:21,24.5,0.075,6.52,0,0,0,In,7.60
