Date,Seneye Temp,Seneye PH,Seneye DO,Seneye NH3,Experiment Temp,Experiment PH,Experiment DO,Experiment NH3,Experiment Fuzzy Logic
12/07/2020,30.60735,8.056594,7.673362,0.22260116,27.80813,8.86775,6.95921,0.356954167,0.2483414
13/07/2020,24.71032,8.003702,8.344523,0.23092698,24.74411,8.381417,7.040309,0.121763333,0.2483541
14/07/2020,24.56282,7.35234,8.350767,0.1970601,24.40808,7.599917,7.179463,0.063169167,0.2481304
15/07/2020,24.34698,6.400517,8.338276,0.20791724,24.17683,6.868667,7.307479,0.004060833,0.248018
16/07/2020,25.78563,6.234316,8.351792,0.22473941,25.89663,6.89025,7.303582,0.005080833,0.2480302
17/07/2020,26.20242,7.167811,7.929389,0.2314931,26.27372,7.44075,7.204396,0.017184167,0.2483239
18/07/2020,24.70253,7.607491,7.495189,0.2319244,24.34091,7.833583,7.143358,0.1290675,0.2482312
19/07/2020,25.28084,7.783618,7.521521,0.24121521,25.61016,7.609917,7.17448,0.0254775,0.2483416
20/07/2020,26.26957,7.864618,7.950098,0.24998434,26.24193,7.763583,7.147334,0.035493333,0.2483541
21/07/2020,25.36749,7.85153,7.948361,0.24803005,25.25913,7.9505,7.114627,0.049669167,0.2483541
22/07/2020,25.10962,6.482923,7.959487,0.19125641,25.10649,4.883917,7.70739,0.0157475,0.2461111
23/07/2020,24.13875,6.209667,7.831538,0.001,25.13875,3.209667,8.031538,0,0.2449052
24/07/2020,24.46015,6.284417,7.715542,0.001,24.96015,3.284417,8.015542,0,0.2448966
25/07/2020,24.09188,6.332917,7.895188,0.001,24.49188,3.332917,8.005188,0,0.244894
26/07/2020,23.60119,6.4,7.990476,0.001,23.73412,3.400167,7.990866,0,0.2448928
27/07/2020,27.6206,6.530282,7.904225,0.06622535,25.23878,4.946583,7.685624,0.002125833,0.2462985
28/07/2020,25.38104,6.512265,7.754453,0.07496947,25.37551,6.85575,7.309803,0.00419375,0.2480087
